callsign,affiliation,date,weekday,ideology,national_politics,local_politics,sinclair2017,post,month
KXVA,FOX,2017-12-05,Tue,NA,0.020634963888888885,0.03028528722222222,0,1,Dec
WCTI,ABC,2017-12-05,Tue,0.1518594231801068,0.14054892524731183,0.09690052382795698,1,1,Dec
WCYB,NBC,2017-12-05,Tue,0.0756334156862002,0.19430794315217392,0.11437744913043478,1,1,Dec
WEMT,FOX,2017-12-05,Tue,0.10809249984187698,0.18524807291666667,0.10856771874999999,1,1,Dec
WITN,NBC,2017-12-05,Tue,0.18753561455028722,0.11190311555555556,0.1353504101234568,0,1,Dec
WJHL,CBS,2017-12-05,Tue,0.15986886942457224,0.10181097346153846,0.17626559365384614,0,1,Dec
WNCT,CBS,2017-12-05,Tue,0.09836716098904591,0.16944595182795702,0.12282237569892474,0,1,Dec
WYDO,FOX,2017-12-05,Tue,0.03615386569379657,0.2087307914893617,0.11344145319148938,1,1,Dec
KAEF,ABC,2017-12-06,Wed,0.20760478816284203,0.14438623231884057,0.221686034057971,1,1,Dec
KBVU,FOX,2017-12-06,Wed,NA,0.027092085454545452,0.24816971909090912,1,1,Dec
KBZK,CBS,2017-12-06,Wed,0.17464740422150377,0.2044851078688525,0.10914980114754098,0,1,Dec
KCVU,FOX,2017-12-06,Wed,0.049240165215509064,0.10771906272727272,0.14239849272727273,1,1,Dec
KECI,NBC,2017-12-06,Wed,0.0055386908104787195,0.17700113240963855,0.09038294771084338,1,1,Dec
KHSL,CBS,2017-12-06,Wed,0.21162626932054296,0.19993200585714288,0.25675149,0,1,Dec
KNVN,NBC,2017-12-06,Wed,0.19100662099837123,0.20641477010638298,0.24877332914893616,0,1,Dec
KPAX,CBS,2017-12-06,Wed,0.028275438241131202,0.19384278063492064,0.16242741031746033,0,1,Dec
KRBC,NBC,2017-12-06,Wed,0.18381610800752923,0.07757748516129032,0.17500474887096773,0,1,Dec
KRCR,ABC,2017-12-06,Wed,0.19981378072847977,0.1982984058241758,0.19212761153846153,1,1,Dec
KTAB,CBS,2017-12-06,Wed,0.11905424615871953,0.030860765749999998,0.120219005875,0,1,Dec
KTMF,ABC,2017-12-06,Wed,NA,0.10704001782608696,0.1696182713043478,0,1,Dec
KTVM,NBC,2017-12-06,Wed,0.03951416855057538,0.18489344555555554,0.0945467637037037,1,1,Dec
KTXS,ABC,2017-12-06,Wed,0.18575454972839003,0.10255878606060606,0.058911899696969694,1,1,Dec
KWYB,ABC,2017-12-06,Wed,NA,0.11777449608695653,0.18400109304347828,0,1,Dec
KWYB,ABC,2017-12-06,Wed,NA,0.03223641696969697,0.03447351727272727,0,1,Dec
KXVA,FOX,2017-12-06,Wed,NA,0.0768342190909091,0.09445333636363636,0,1,Dec
WCTI,ABC,2017-12-06,Wed,0.14418042333780998,0.1257747075308642,0.0991973938271605,1,1,Dec
WCYB,NBC,2017-12-06,Wed,0.0455050777545489,0.1774259988172043,0.12260724666666667,1,1,Dec
WEMT,FOX,2017-12-06,Wed,0.11588185205684785,0.2452779025,0.07020748,1,1,Dec
WITN,NBC,2017-12-06,Wed,0.05014738536504035,0.1325406851948052,0.15260850233766235,0,1,Dec
WJHL,CBS,2017-12-06,Wed,0.1720626118992396,0.13018714019417477,0.15947844563106797,0,1,Dec
WNCT,CBS,2017-12-06,Wed,0.1339932527292136,0.1346900709090909,0.13554149011363636,0,1,Dec
WYDO,FOX,2017-12-06,Wed,0.12477702045940783,0.18940910021276597,0.0909957040425532,1,1,Dec
KAEF,ABC,2017-12-07,Thu,0.24970369144960136,0.1269445423943662,0.1818136081690141,1,1,Dec
KBVU,FOX,2017-12-07,Thu,NA,0.0471069775,0.19081204166666665,1,1,Dec
KBZK,CBS,2017-12-07,Thu,0.10453928629545234,0.18694884525423727,0.1355492161016949,0,1,Dec
KCVU,FOX,2017-12-07,Thu,NA,0.022888283636363638,0.17015204818181817,1,1,Dec
KECI,NBC,2017-12-07,Thu,0.20755669788295647,0.21282692217391302,0.07813154884057971,1,1,Dec
KHSL,CBS,2017-12-07,Thu,0.11868748300607877,0.15843796732394366,0.2408102284507042,0,1,Dec
KNVN,NBC,2017-12-07,Thu,0.13418956257080406,0.15611314355932202,0.24520996084745764,0,1,Dec
KPAX,CBS,2017-12-07,Thu,0.04576476676815148,0.13286440365079366,0.20042183333333333,0,1,Dec
KRBC,NBC,2017-12-07,Thu,0.2432025485164372,0.09448767206896551,0.16300788637931035,0,1,Dec
KRCR,ABC,2017-12-07,Thu,0.15880040367571707,0.17219510723404255,0.1644914094680851,1,1,Dec
KTAB,CBS,2017-12-07,Thu,NA,0.03595408428571429,0.15645764935064935,0,1,Dec
KTMF,ABC,2017-12-07,Thu,0.0054253109916053465,0.23933445956521737,0.14935987869565218,0,1,Dec
KTVM,NBC,2017-12-07,Thu,0.2010684214553803,0.21175633420289855,0.07514700782608696,1,1,Dec
KTXS,ABC,2017-12-07,Thu,0.15789997455173832,0.11775303029850746,0.07480354417910448,1,1,Dec
KWYB,ABC,2017-12-07,Thu,0.007844184860326968,0.2627346304545454,0.15131769363636363,0,1,Dec
KWYB,ABC,2017-12-07,Thu,NA,0.06297201277777777,0.027021315555555554,0,1,Dec
KXVA,FOX,2017-12-07,Thu,NA,0.006084122727272727,0.06120263636363636,0,1,Dec
WCTI,ABC,2017-12-07,Thu,0.1592599694995242,0.12252505127368421,0.13585522221052632,1,1,Dec
WCYB,NBC,2017-12-07,Thu,0.11744184793890246,0.16814747097560975,0.11672849975609756,1,1,Dec
WEMT,FOX,2017-12-07,Thu,0.024147585008859034,0.16732324956521738,0.12010074826086956,1,1,Dec
WITN,NBC,2017-12-07,Thu,0.16115794173126985,0.1280194662121212,0.1359490043939394,0,1,Dec
WJHL,CBS,2017-12-07,Thu,0.1629034922766162,0.10977095980582524,0.20861014203883496,0,1,Dec
